s no.,position,matches,wins,losses,draws,scoresFor,scoresAgainst,points,team.name,team.shortName,team.nameCode,team.id
0,1,20,12,4,4,35,18,40,Mumbai City FC,Mumbai City,MCI,174600
1,2,20,12,4,4,28,15,40,ATK Mohun Bagan FC,ATK Mohun Bagan,AMB,370834
2,3,20,8,3,9,31,25,33,Northeast United,Northeast Utd,NUN,174602
3,4,20,7,3,10,31,23,31,FC Goa,Goa,GOA,174594
4,5,20,6,3,11,27,19,29,Hyderabad FC,Hyderabad,HYD,331840
5,6,20,7,7,6,21,22,27,Jamshedpur FC,Jamshedpur,JAM,267915
6,7,20,5,8,7,26,28,22,Bengaluru FC,Bengaluru,BEN,118670
7,8,20,3,6,11,17,23,20,Chennaiyin FC,Chennaiyin,CHE,174590
8,9,20,3,9,8,22,33,17,SC East Bengal,SC East Bengal,EBC,40655
9,10,20,3,9,8,23,36,17,Kerala Blasters,Kerala,KBL,174598
10,11,20,2,12,6,25,44,12,Odisha Football Club,Odisha FC,DDY,174592
